"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Al-Zidi N.M.; Tawfik M.; Aldhaheri T.A.; Almadani A.M.; Ahmed Z.A.T.; Al-Zidi A.M.","Al-Zidi, Nasser M. (57219253960); Tawfik, Mohammed (57291427700); Aldhaheri, Talal A. (57216763906); Almadani, Ali Mansour (58045270100); Ahmed, Zeyad A. T. (57221609216); Al-Zidi, Ali M. (58045551900)","57219253960; 57291427700; 57216763906; 58045270100; 57221609216; 58045551900","COVID-19 Detection and Remote Tracking System Using IoT-Based Wearable Bracelet","2023","Cognitive Science and Technology","","","","297","306","0","10.1007/978-981-19-2358-6_29","https://www.scopus.com/pages/publications/85145825056?origin=resultslist","A new type of virus was discovered in China in the year 2019, known as COVID-19. One of the main symptoms that are easy to spot is high body temperature. The recent virus outbreak necessitates infrared thermometers used for thermal screening at public places to test the body temperature. However, this protection method still lacks because it requires a significant amount of time to monitor large numbers of people’s body temperatures. Moreover, direct contact with people infected with coronavirus may spread it to the person doing the screening. In addition, this method cannot detect the infection early without visiting the infected person to a screening place. This study proposed a new system for automatically detecting the coronavirus in early time through the body temperature with no human interactions using IoT-based wearable bracelets. The body temperature sensor is integrated into the wearable bracelet with IoT technology for monitoring the body temperature and reading the current bodily temperature. The system is additionally equipped with a GPS module. It can capture the location of the person automatically. Suppose the person is suffering from high body temperature. In that case, the system will send it with location through Wi-Fi module or GSM module over the internet to cloud database and notify medical officer at the same moment to do the immediate procedures for that person. Health officers use smartphone applications for monitoring and remote tracking using the application map. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Book chapter","Final","","Scopus","2-s2.0-85145825056"
"Pradipta I.S.; Khairunnisa K.; Bahar M.A.; Kausar M.N.; Fitriana E.; Ruslami R.; Aarnoutse R.E.; Abdulah R.","Pradipta, Ivan Surya (55652137400); Khairunnisa, Khairunnisa (56543747800); Bahar, Muh Akbar (57193859399); Kausar, Mersa Nurain (57777022400); Fitriana, Efi (56216180300); Ruslami, Rovina (12141875700); Aarnoutse, Rob E (6603807383); Abdulah, Rizky (9244834900)","55652137400; 56543747800; 57193859399; 57777022400; 56216180300; 12141875700; 6603807383; 9244834900","Knowledge, attitude and practice of community pharmacy personnel in tuberculosis patient detection: a multicentre cross-sectional study in a high-burden tuberculosis setting","2022","BMJ Open","12","7","e060078","","","17","10.1136/bmjopen-2021-060078","https://www.scopus.com/pages/publications/85133281039?origin=resultslist","Introduction Control of tuberculosis (TB) is hampered by suboptimal case detection and subsequent delays in treatment, which is worsened by the COVID-19 pandemic. The community pharmacy is reported as the place for first aid medication among patients with TB. We, therefore, analysed knowledge, attitude and practice (KAP) on TB patient detection (TBPD) of community pharmacy personnel, aiming to find innovative strategies to engage community pharmacies in TBPD. Methods A multicentre cross-sectional study was performed in four areas of Indonesia's eastern, central and western parts. Pharmacists and pharmacy technicians who worked in community pharmacies were assessed for their characteristics and KAP related to TBPD. Descriptive analysis was used to assess participant characteristics and their KAP, while multivariable regression analyses were used to analyse factors associated with the KAP on TBPD. Results A total of 1129 participants from 979 pharmacies, comprising pharmacists (56.6%) and pharmacy technicians (43.4%), were included. Most participants knew about TB. However, knowledge related to TB symptoms, populations at risk and medication for TB were still suboptimal. Most participants showed a positive attitude towards TBPD. They believed in their professional role (75.1%), capacity in TB screening (65.4%) and responsibility for TBPD (67.4%). Nevertheless, a lack of TBPD practice was identified in most participants. Several factors significantly associated with performing the TBPD practice (p<0.05), such as TB training experience (p<0.001), provision of a drug consultation service (p<0.001), male gender (p<0.05), a positive attitude towards TBPD (p<0.001), short working hours (p<0.001) and central city location of the pharmacy (p<0.05). Conclusions Most participants had good knowledge and attitude, which did not translate into actual TBPD practice. We identified that TB educational programmes are essential in improving the KAP. A comprehensive assessment is needed to develop effective strategies to engage the community pharmacy in TBPD activities. © 2022 BMJ Publishing Group. All rights reserved.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85133281039"
"Nie A.; Su X.; Zhang S.; Guan W.; Li J.","Nie, Anliu (57202285501); Su, Xiangfen (57196946858); Zhang, Shuzeng (57218623723); Guan, Wenjie (57218623388); Li, Jianfeng (59081569800)","57202285501; 57196946858; 57218623723; 57218623388; 59081569800","Psychological impact of COVID-19 outbreak on frontline nurses: A cross-sectional survey study","2020","Journal of Clinical Nursing","29","21-22","","4217","4226","245","10.1111/jocn.15454","https://www.scopus.com/pages/publications/85089828617?origin=resultslist","Aims and objectives: This study aimed to portray the prevalence and associated factors of psychological distress among frontline nurses during COVID-19 outbreak. Background: The COVID-19 outbreak has posed great threat to public health worldwide. Nurses fighting against the epidemic on the frontline might be under great physical and psychological distress. This psychological distress was predominantly described as sleep disturbance, symptoms of anxiety and depression, post-traumatic stress, inability to make decisions and even somatic symptoms. Design: Cross-sectional study. Methods: Frontline nurses from designated hospitals for COVID-19 patients were invited to complete an online survey by convenience sampling, and the survey included six main sections: the General Health Questionnaire, the Perceived Social Support Scale, the Simplified Coping Style Scale, the Impact of Event Scale-Revised, socio-demographic, occupation and work history. Multiple logistic analysis was used to identify the potential risk factors of psychological distress. The study methods were compliant with the STROBE checklist. Results: Of the 263 frontline nurses, 66 (25.1%) were identified as psychological distress. Multiple logistic analysis revealed that working in emergency department, concern for family, being treated differently, negative coping style and COVID-19-related stress symptom were positive related to psychological distress. Perceived more social support and effective precautionary measures were negatively associated with psychological distress. Conclusions: The study demonstrated that COVID-19 had a significant psychological impact on frontline nurses. Early detection of psychological distress and supportive intervention should be taken according to the associated factors to prevent more serious psychological impact on frontline nurses. Relevance to clinical practice: This study highlighted that the frontline nurses were suffering from varying degrees of psychological distress, which needed early screening and supportive intervention for preventing more serious psychological impact on frontline nurses. Beside, more specific measurement should be combined with the GHQ-12 to assess the varying degrees of psychological distress in frontline nurses. © 2020 John Wiley & Sons Ltd","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85089828617"
"Li H.; Zhang Y.","Li, Huimin (57222075164); Zhang, Yong (58054847200)","57222075164; 58054847200","Effects of Physical Activity and Circadian Rhythm Differences on the Mental Health of College Students in Schools Closed by COVID-19","2023","International Journal of Environmental Research and Public Health","20","1","95","","","5","10.3390/ijerph20010095","https://www.scopus.com/pages/publications/85145980632?origin=resultslist","Purpose: Since the prolonged sequestration management that was implemented in order to achieve lower infection and mortality rates, there has been a surge in depression worldwide. The correlation between the physical activity level and the detection rate of a depressed mood in college students should be of wide concern. A large number of studies have focused on the association between physical activity levels and a negative mood, but circadian rhythm differences seem to be strongly associated with both physical activity levels and mental illness. Therefore, this paper will examine the correlation between physical activity levels, circadian rhythm differences, and mental health levels in college students. METHODS: Data were collected through a web-based cross-sectional survey. In June and December 2022, questionnaires were administered to college students from three universities in Anhui, China. In addition to socio-demographic information, measures included the International Physical Activity Questionnaire-Short Form (IPAQ-SF), Morning and Evening Questionnaire-5 Items (MEQ-5), and Symptom Check List90 (SCL-90) scales. Correlation analysis was used to understand the relationship between physical activity and circadian rhythm differences in the three aspects of college student’s mental health. RESULTS: The analysis of the data led to the conclusion that 28.4% of the 1241 college students in this survey had psychological disorders. The physical activity level of male students was higher than that of female students, but the risk of having depressive tendencies was higher in female students than in male students. There was a significant negative correlation between the physical activity level and scl-90 scores (p < 0.01), which indicates that higher physical activity levels are associated with higher mental health. Circadian rhythm differences and scl-90 scores were significantly positively correlated among college students (p < 0.01), and night-type people had a higher risk of mental illness than intermediate-type and early-morning-type people. CONCLUSIONS: During the period of closed administration due to COVID-19, school college students experienced large and high levels of negative emotional phenomena due to reduced physical activity and public health emergencies. This study showed significant correlations between both physical activity levels and circadian rhythmicity differences and the degree of mental health of college students. © 2022 by the authors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85145980632"
"Fox T.; Geppert J.; Dinnes J.; Scandrett K.; Bigio J.; Sulis G.; Hettiarachchi D.; Mathangasinghe Y.; Weeratunga P.; Wickramasinghe D.; Bergman H.; Buckley B.S.; Probyn K.; Sguassero Y.; Davenport C.; Cunningham J.; Dittrich S.; Emperador D.; Hooft L.; Leeflang M.M.G.; McInnes M.D.F.; Spijker R.; Struyf T.; Van den Bruel A.; Verbakel J.Y.; Takwoingi Y.; Taylor-Phillips S.; Deeks J.J.","Fox, Tilly (57702573900); Geppert, Julia (57159420700); Dinnes, Jacqueline (8780114700); Scandrett, Katie (57952108700); Bigio, Jacob (57218653782); Sulis, Giorgia (57373834700); Hettiarachchi, Dineshani (57190256321); Mathangasinghe, Yasith (57193006575); Weeratunga, Praveen (55498370600); Wickramasinghe, Dakshitha (37099212100); Bergman, Hanna (55224184700); Buckley, Brian S (55752987700); Probyn, Katrin (56043899600); Sguassero, Yanina (24345153600); Davenport, Clare (7005925668); Cunningham, Jane (14119491900); Dittrich, Sabine (57205848244); Emperador, Devy (57160490200); Hooft, Lotty (57202068648); Leeflang, Mariska MG (8988880800); McInnes, Matthew DF (26039266700); Spijker, René (14010805900); Struyf, Thomas (15737491400); Van den Bruel, Ann (59662868200); Verbakel, Jan Y (57191266755); Takwoingi, Yemisi (57205105485); Taylor-Phillips, Sian (24345235100); Deeks, Jonathan J (7006087510)","57702573900; 57159420700; 8780114700; 57952108700; 57218653782; 57373834700; 57190256321; 57193006575; 55498370600; 37099212100; 55224184700; 55752987700; 56043899600; 24345153600; 7005925668; 14119491900; 57205848244; 57160490200; 57202068648; 8988880800; 26039266700; 14010805900; 15737491400; 59662868200; 57191266755; 57205105485; 24345235100; 7006087510","Antibody tests for identification of current and past infection with SARS-CoV-2","2022","Cochrane Database of Systematic Reviews","2022","11","CD013652","","","172","10.1002/14651858.CD013652.pub2","https://www.scopus.com/pages/publications/85142235444?origin=resultslist","Background: The diagnostic challenges associated with the COVID-19 pandemic resulted in rapid development of diagnostic test methods for detecting SARS-CoV-2 infection. Serology tests to detect the presence of antibodies to SARS-CoV-2 enable detection of past infection and may detect cases of SARS-CoV-2 infection that were missed by earlier diagnostic tests. Understanding the diagnostic accuracy of serology tests for SARS-CoV-2 infection may enable development of effective diagnostic and management pathways, inform public health management decisions and understanding of SARS-CoV-2 epidemiology. Objectives: To assess the accuracy of antibody tests, firstly, to determine if a person presenting in the community, or in primary or secondary care has current SARS-CoV-2 infection according to time after onset of infection and, secondly, to determine if a person has previously been infected with SARS-CoV-2. Sources of heterogeneity investigated included: timing of test, test method, SARS-CoV-2 antigen used, test brand, and reference standard for non-SARS-CoV-2 cases. Search methods: The COVID-19 Open Access Project living evidence database from the University of Bern (which includes daily updates from PubMed and Embase and preprints from medRxiv and bioRxiv) was searched on 30 September 2020. We included additional publications from the Evidence for Policy and Practice Information and Co-ordinating Centre (EPPI-Centre) ‘COVID-19: Living map of the evidence’ and the Norwegian Institute of Public Health ’NIPH systematic and living map on COVID-19 evidence’. We did not apply language restrictions. Selection criteria: We included test accuracy studies of any design that evaluated commercially produced serology tests, targeting IgG, IgM, IgA alone, or in combination. Studies must have provided data for sensitivity, that could be allocated to a predefined time period after onset of symptoms, or after a positive RT-PCR test. Small studies with fewer than 25 SARS-CoV-2 infection cases were excluded. We included any reference standard to define the presence or absence of SARS-CoV-2 (including reverse transcription polymerase chain reaction tests (RT-PCR), clinical diagnostic criteria, and pre-pandemic samples). Data collection and analysis: We use standard screening procedures with three reviewers. Quality assessment (using the QUADAS-2 tool) and numeric study results were extracted independently by two people. Other study characteristics were extracted by one reviewer and checked by a second. We present sensitivity and specificity with 95% confidence intervals (CIs) for each test and, for meta-analysis, we fitted univariate random-effects logistic regression models for sensitivity by eligible time period and for specificity by reference standard group. Heterogeneity was investigated by including indicator variables in the random-effects logistic regression models. We tabulated results by test manufacturer and summarised results for tests that were evaluated in 200 or more samples and that met a modification of UK Medicines and Healthcare products Regulatory Agency (MHRA) target performance criteria. Main results: We included 178 separate studies (described in 177 study reports, with 45 as pre-prints) providing 527 test evaluations. The studies included 64,688 samples including 25,724 from people with confirmed SARS-CoV-2; most compared the accuracy of two or more assays (102/178, 57%). Participants with confirmed SARS-CoV-2 infection were most commonly hospital inpatients (78/178, 44%), and pre-pandemic samples were used by 45% (81/178) to estimate specificity. Over two-thirds of studies recruited participants based on known SARS-CoV-2 infection status (123/178, 69%). All studies were conducted prior to the introduction of SARS-CoV-2 vaccines and present data for naturally acquired antibody responses. Seventy-nine percent (141/178) of studies reported sensitivity by week after symptom onset and 66% (117/178) for convalescent phase infection. Studies evaluated enzyme-linked immunosorbent assays (ELISA) (165/527; 31%), chemiluminescent assays (CLIA) (167/527; 32%) or lateral flow assays (LFA) (188/527; 36%). Risk of bias was high because of participant selection (172, 97%); application and interpretation of the index test (35, 20%); weaknesses in the reference standard (38, 21%); and issues related to participant flow and timing (148, 82%). We judged that there were high concerns about the applicability of the evidence related to participants in 170 (96%) studies, and about the applicability of the reference standard in 162 (91%) studies. Average sensitivities for current SARS-CoV-2 infection increased by week after onset for all target antibodies. Average sensitivity for the combination of either IgG or IgM was 41.1% in week one (95% CI 38.1 to 44.2; 103 evaluations; 3881 samples, 1593 cases), 74.9% in week two (95% CI 72.4 to 77.3; 96 evaluations, 3948 samples, 2904 cases) and 88.0% by week three after onset of symptoms (95% CI 86.3 to 89.5; 103 evaluations, 2929 samples, 2571 cases). Average sensitivity during the convalescent phase of infection (up to a maximum of 100 days since onset of symptoms, where reported) was 89.8% for IgG (95% CI 88.5 to 90.9; 253 evaluations, 16,846 samples, 14,183 cases), 92.9% for IgG or IgM combined (95% CI 91.0 to 94.4; 108 evaluations, 3571 samples, 3206 cases) and 94.3% for total antibodies (95% CI 92.8 to 95.5; 58 evaluations, 7063 samples, 6652 cases). Average sensitivities for IgM alone followed a similar pattern but were of a lower test accuracy in every time slot. Average specificities were consistently high and precise, particularly for pre-pandemic samples which provide the least biased estimates of specificity (ranging from 98.6% for IgM to 99.8% for total antibodies). Subgroup analyses suggested small differences in sensitivity and specificity by test technology however heterogeneity in study results, timing of sample collection, and smaller sample numbers in some groups made comparisons difficult. For IgG, CLIAs were the most sensitive (convalescent-phase infection) and specific (pre-pandemic samples) compared to both ELISAs and LFAs (P < 0.001 for differences across test methods). The antigen(s) used (whether from the Spike-protein or nucleocapsid) appeared to have some effect on average sensitivity in the first weeks after onset but there was no clear evidence of an effect during convalescent-phase infection. Investigations of test performance by brand showed considerable variation in sensitivity between tests, and in results between studies evaluating the same test. For tests that were evaluated in 200 or more samples, the lower bound of the 95% CI for sensitivity was 90% or more for only a small number of tests (IgG, n = 5; IgG or IgM, n = 1; total antibodies, n = 4). More test brands met the MHRA minimum criteria for specificity of 98% or above (IgG, n = 16; IgG or IgM, n = 5; total antibodies, n = 7). Seven assays met the specified criteria for both sensitivity and specificity. In a low-prevalence (2%) setting, where antibody testing is used to diagnose COVID-19 in people with symptoms but who have had a negative PCR test, we would anticipate that 1 (1 to 2) case would be missed and 8 (5 to 15) would be falsely positive in 1000 people undergoing IgG or IgM testing in week three after onset of SARS-CoV-2 infection. In a seroprevalence survey, where prevalence of prior infection is 50%, we would anticipate that 51 (46 to 58) cases would be missed and 6 (5 to 7) would be falsely positive in 1000 people having IgG tests during the convalescent phase (21 to 100 days post-symptom onset or post-positive PCR) of SARS-CoV-2 infection. Authors' conclusions: Some antibody tests could be a useful diagnostic tool for those in whom molecular- or antigen-based tests have failed to detect the SARS-CoV-2 virus, including in those with ongoing symptoms of acute infection (from week three onwards) or those presenting with post-acute sequelae of COVID-19. However, antibody tests have an increasing likelihood of detecting an immune response to infection as time since onset of infection progresses and have demonstrated adequate performance for detection of prior infection for sero-epidemiological purposes. The applicability of results for detection of vaccination-induced antibodies is uncertain. Copyright © 2022 The Authors. Cochrane Database of Systematic Reviews published by John Wiley & Sons, Ltd. on behalf of The Cochrane Collaboration.","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85142235444"
"Cattelan A.M.; Sasset L.; Zabeo F.; Ferrari A.; Rossi L.; Mazzitelli M.; Cocchio S.; Baldo V.","Cattelan, Anna Maria (7004065807); Sasset, Lolita (57202558767); Zabeo, Federico (57240834500); Ferrari, Anna (57211262660); Rossi, Lucia (15828161000); Mazzitelli, Maria (57147739400); Cocchio, Silvia (25931381700); Baldo, Vincenzo (7003575210)","7004065807; 57202558767; 57240834500; 57211262660; 15828161000; 57147739400; 25931381700; 7003575210","Rapid Antigen Test LumiraDx™ vs. Real Time Polymerase Chain Reaction for the Diagnosis of SARS-CoV-2 Infection: A Retrospective Cohort Study","2022","International Journal of Environmental Research and Public Health","19","7","3826","","","14","10.3390/ijerph19073826","https://www.scopus.com/pages/publications/85126895017?origin=resultslist","Background: Real time reverse transcription polymerase chain reaction (real time RT-PCR) testing is the gold standard for the diagnosis of SARS-CoV-2 infections. However, to expand the testing capacity, new SARS-CoV-2 rapid antigen tests (Ag-RDTs) have been implemented. Ag-RDTs are more rapid, but less reliable in terms of sensitivity, and real-life data on their performance in comparison with the real time RT-PCR test are lacking. Methods: We aimed at assessing the diagnostic performance of the third-generation antigenic swab LumiraDx™ compared with real time RT-PCR in a retrospective cohort study at the Infectious Diseases Unit of Padua. All of the patients who were consecutively tested for SARS-CoV-2 in our centre (by both real time RT-PCR and Ag-RTD LumiraDx™) from 19 January to 30 May 2021, were included. Cycle-threshold (Ct) values of positive real time RT-PCR were recorded as well as the number of days from symptoms’ onset to testing. Results: Among the 282 patients included, 80.9% (N = 228) tested positive to real time RT-PCR, and among these, 174 tested positive also to LumiraDx™. Compared with real time RT-PCR, which is considered as the gold standard for the assessment of the presence/absence of SARS-CoV-2 infection, LumiraDx™ showed an overall sensitivity of 76.3% and specificity of 94.4%. Sensitivity increased to 91% when testing was performed <10 days from symptoms’ onset, and to 95% when considering Ct < 25. Multivariable binomial logistic regression showed that false negative LumiraDx™ results were significantly associated with high Ct values, and with further testing from symptoms’ onset. Conclusions: The results of our study suggested that the LumiraDx™ SARS-CoV-2 antigen assay may be appropriate for the detection of SARS-CoV-2 infection, especially in its early phase when the test largely meets the performance requirements of the European Centre for Disease Prevention and Control (ECDC). © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85126895017"
"Han S.-S.; Li B.; Ke Y.-Z.; Wang G.-X.; Meng S.-Q.; Li Y.-X.; Cui Z.-L.; Tong W.-X.","Han, Shan-Shan (57576485300); Li, Bo (57211645014); Ke, You-Zhi (57824519400); Wang, Guang-Xu (57222541302); Meng, Shu-Qiao (57576265600); Li, Ya-Xing (57755460900); Cui, Zhong-Lei (57824386300); Tong, Wen-Xia (57226465123)","57576485300; 57211645014; 57824519400; 57222541302; 57576265600; 57755460900; 57824386300; 57226465123","Chinese College Students’ Physical-Exercise Behavior, Negative Emotions, and Their Correlation during the COVID-19 Outbreak","2022","International Journal of Environmental Research and Public Health","19","16","10344","","","25","10.3390/ijerph191610344","https://www.scopus.com/pages/publications/85136676660?origin=resultslist","Background: In the period of the COVID-19 pandemic, the level of college students’ physical exercise, the detection rate of negative emotions, and their correlation should attract extensive attention. Therefore, this study aimed to explore the correlation between college students’ physical exercise and negative emotions. Methods: Data were collected via a web-based cross-sectional survey. A questionnaire survey was conducted among 3118 college students from five universities in Shanghai in March 2022. In addition to sociodemographic information, measures included Physical Activity Rating Scale (PARS-3) and Depression Anxiety Stress Scale (DASS). The chi-squared test and logistic regression were used to analyze the differences and test the relative risk of negative emotions caused by different amounts of physical exercise. Results: Most students (66.1%) performed a small amount of physical exercise. Male students’ physical-exercise level was higher than female students’, and the detection rate of negative emotions was lower than that of female students. Moderate and low physical-exercise levels were associated with a higher risk of depression (beta of 0.289 and 0.345, respectively) and anxiety (beta of 0.301 and 0.418) symptoms than high physical-exercise level. Conclusions: The anxiety symptoms of college students were significant during the COVID-19 pandemic period. The physical-exercise behavior of college students was closely related to negative emotions, and the weakening of physical-exercise behavior was one of the factors that induced negative emotions in college students. © 2022 by the authors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85136676660"
"Dhanapal J.; Narayanamurthy B.; Shanmugam V.; Gangadharan A.; Magesh S.","Dhanapal, Jagadeesan (55335192700); Narayanamurthy, Badrinath (58309881100); Shanmugam, Vijayakumar (57218306709); Gangadharan, Asha (56585939000); Magesh, S. (57208258976)","55335192700; 58309881100; 57218306709; 56585939000; 57208258976","Pervasive computational model and wearable devices for prediction of respiratory symptoms in progression of COVID-19","2020","International Journal of Pervasive Computing and Communications","16","4","","371","381","6","10.1108/IJPCC-07-2020-0077","https://www.scopus.com/pages/publications/85088711365?origin=resultslist","Purpose: The purpose of this paper is to provide a model for prediction of respiratory symptoms in the progression of COVID-19, social distancing, frequent hand washes, wearing of face mask in public are some of the potential measures of preventing the disease from further spreading. In spite of the effects and efforts taken by governments, the pandemic is still uncontrolled in major cities of the world. The proposed technique in this paper introduces a non-intrusive and major screening of vital symptoms and changes in the respiratory organs. Design/methodology/approach: The novel coronavirus or Covid-19 has become a serious threat to social and economic growth of many nations worldwide. The pace of progression was significantly higher in the past two months. Identified by severe respiratory illness, fever and coughs, the disease has been threatening the lives of human society. Early detection and prognosis is absolutely necessary to isolate the potential spreaders of the disease and to control the rate of progression. Findings: Recent studies have highlighted the changes observed in breathing characteristics of infected patients. Respiratory pattern of Covid-19 patients can be differentiated from the respiratory pattern of normal cold/flu affected patients. Tachypnoea is one among the vital signs identified to be distinguishing feature of Covid-19. The proposed respiratory data capture will commence with facial recognition, use of infrared sensors and machine-learning approaches to classify the respiratory patterns, which finally narrows down as a symptom of Covid-19. Originality/value: Proposed system produced outcome of 94% accuracy, precision, recall and a F1-measure as an average in the conducted experiments. This method also proves to be a fruitful solution for large-scale monitoring and categorisation of people based on the symptoms. © 2020, Emerald Publishing Limited.","Article","Final","","Scopus","2-s2.0-85088711365"
"Khan A.; Erickson T.A.; Carrillo L.","Khan, Atiya (60418652400); Erickson, Timothy A. (57193682551); Carrillo, Louis (60418652500)","60418652400; 57193682551; 60418652500","COVID-19 and MPXV: Twindemic Response and Dual Infections in Individuals in a US Metro","2026","Epidemiologia","7","1","3","","","1","10.3390/epidemiologia7010003","https://www.scopus.com/pages/publications/105031269678?origin=resultslist","Background/Objectives: The purpose of this study was to identify shared and differing characteristics of individuals testing for both SARS-CoV-2 and MPXV in 2022 in the greater Houston metro area. Methods: Data from the Houston Electronic Disease Surveillance System (HEDSS) identified 7,754,198 SARS-CoV-2 PCR lab results and 1246 MPXVV PCR lab results in 2022. Three cohorts for analysis were created where tests were performed, as follows: those positive for both viruses, those negative for COVID-19 but positive for MPXV, and those positive for COVID-19 but negative for MPXV. Results: We identified 88 individuals positive for both viral infections, those negative for COVID-19 but positive for MPXV (n = 38), and those positive for COVID-19 but negative for MPXV (n = 96). While groups were generally similar in regard to demographics (age, sex, and race) and risk factors reported, key differences in timing of testing and risk factors were reported. Notably, there was statistically significant difference in the time between t-tests for dual-infected individuals (99 days) compared to MPXV-positive only (58 days, p < 0.01) or COVID-19 positive only (63 days, p < 0.01). Conclusions: In the setting of multiple disease outbreaks, the characteristics of infected patients may be largely similar. Some people with dual infection may show unusual test results or symptom patterns compared with those with only one infection. Large public health studies with robust reporting systems and laboratory screening are vital for early detection of dual infections. Public health strategies to educate providers and outreach teams enhance response during concurrent outbreaks. Further research is needed on behavior and risk factors in communities with simultaneous outbreaks. © 2025 by the authors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031269678"
"Custódio A.C.D.; Ribas F.V.; Toledo L.V.; de Carvalho C.J.; Lima L.M.; de Freitas B.A.C.","Custódio, Ana Cristina Dias (57349025100); Ribas, Fábio Vieira (57349447800); Toledo, Luana Vieira (57204568423); de Carvalho, Cristiane Junqueira (56644175100); Lima, Luciana Moreira (14068772100); de Freitas, Brunnella Alcantara Chagas (55597186400)","57349025100; 57349447800; 57204568423; 56644175100; 14068772100; 55597186400","Hospitalizations and mortality by severe acute respiratory syndrome: Comparison between the pre-pandemic and pandemic periods; [Internações hospitalares e mortalidade por síndrome respiratória aguda grave: Comparação entre os períodos pré-pandêmico e pandêmico]","2021","Revista Brasileira de Epidemiologia","24","","E210052","","","6","10.1590/1980-549720210052","https://www.scopus.com/pages/publications/85119601493?origin=resultslist","Objective: To analyze the characteristics and the factors associated with mortality of cases hospitalized for severe acute respiratory syndrome in a health region, in pre-pandemic and pandemic periods. Methods: A retrospective documentary study of epidemiological surveillance carried out with secondary data from the Influenza Epidemiological Surveillance Information System, regarding the cases of patients belonging to a health region of Minas Gerais, Brazil. Results: During the pandemic period, there was an increase in the number of hospitalizations and deaths due to severe acute respiratory syndrome, in addition to differences between sociodemographic and clinical-epidemiological characteristics. In both periods, the age and the use of invasive ventilatory support were the predictors of hospital mortality. The mortality in the pandemic period was also associated with male gender, presence of risk factors, admission to an intensive care unit, use of non-invasive ventilatory support, and infection by COVID-19. Conclusions: In 2020, the detection rate of severe acute respiratory syndrome was 21 times higher than in 2019 and new symptoms, such as anosmia and ageusia, were included in their investigation. In both periods evaluated, elderly patients and patients on invasive mechanical ventilation had a higher risk of mortality. With the pandemic, there was a greater number of hospitalizations and factors associated with mortality. © 2021, Assocaicao Brasileira de Pos, Gradacao em Saude Coletiva. All rights reserved.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85119601493"
